tracking_id	female_flower_early_0	female_flower_early_3	female_flower_early_1	female_flower_early_2	female_flower_late_1	female_flower_late_0
Zosma179g00060	178.274	49.1888	136.208	14.2961	44.2883	24.0057
Zosma179g00080	196.646	288.106	192.263	267.077	307.114	266.063
Zosma179g00090	88.4567	210.809	71.2474	111.769	277.347	176.042
Zosma179g00110	131.324	202.611	150.877	200.145	226.524	169.374
Zosma179g00130	1494.92	1415.94	1651.26	1499.14	1700.38	1253.63
Zosma179g00150	25.8566	131.17	14.1447	2.59929	75.508	274.732
Zosma179g00160	821.967	1242.02	624.462	390.543	800.094	3171.42
Zosma179g00180	142.211	247.115	128.874	213.141	196.03	234.056
Zosma179g00190	240.874	402.294	269.273	417.835	409.485	414.765
Zosma179g00200	126.561	135.269	122.064	110.47	180.057	162.039
Zosma179g00210	30.6196	2.34233	2.09551	3.24911	1.45208	0.666826
